startTime,settlementDate,settlementPeriod,GAS,OTHER
2023-03-28 05:30:00,2023-03-28,14,3080.443,7.608
2023-03-28 06:00:00,2023-03-28,15,4198.528,92.108
2023-03-28 06:30:00,2023-03-28,16,1826.634,-18.5
2023-03-28 07:00:00,2023-03-28,17,751.711,22.183
2023-03-28 07:30:00,2023-03-28,18,1097.441,18.875
2023-03-28 08:00:00,2023-03-28,19,1813.205,53.85
2023-03-28 08:30:00,2023-03-28,20,1400.637,70.2
2023-03-28 09:00:00,2023-03-28,21,1072.642,142.5
2023-03-28 09:30:00,2023-03-28,22,776.285,367.496
2023-03-28 10:00:00,2023-03-28,23,1829.675,635.754
2023-03-28 10:30:00,2023-03-28,24,1132.075,316.625
2023-03-28 11:00:00,2023-03-28,25,699.398,143.858
2023-03-28 11:30:00,2023-03-28,26,499.808,0.0
2023-03-28 12:00:00,2023-03-28,27,1324.005,231.083
2023-03-28 12:30:00,2023-03-28,28,2147.717,661.6
2023-03-28 13:00:00,2023-03-28,29,1485.686,1037.694
2023-03-28 13:30:00,2023-03-28,30,2216.214,1119.796
2023-03-28 14:00:00,2023-03-28,31,1905.385,326.552
2023-03-28 14:30:00,2023-03-28,32,1625.327,73.8
2023-03-28 15:00:00,2023-03-28,33,2422.649,136.283
2023-03-28 15:30:00,2023-03-28,34,1982.305,123.581
2023-03-28 16:00:00,2023-03-28,35,3012.383,58.878
2023-03-28 16:30:00,2023-03-28,36,2698.525,90.375
2023-03-28 17:00:00,2023-03-28,37,3415.7,186.522
2023-03-28 17:30:00,2023-03-28,38,3220.987,30.586
2023-03-28 18:00:00,2023-03-28,39,4504.001,171.1
2023-03-28 18:30:00,2023-03-28,40,3762.078,8.808
2023-03-28 19:00:00,2023-03-28,41,4236.231,48.967
2023-03-28 19:30:00,2023-03-28,42,4945.846,43.467
2023-03-28 20:00:00,2023-03-28,43,3028.463,33.917
2023-03-28 20:30:00,2023-03-28,44,1306.06,8.758
2023-03-28 21:00:00,2023-03-28,45,2169.962,10.592
2023-03-28 21:30:00,2023-03-28,46,3197.517,255.694
2023-03-28 22:00:00,2023-03-28,47,4735.116,1085.431
2023-03-28 22:30:00,2023-03-28,48,3948.424,1664.635
2023-03-28 23:00:00,2023-03-29,1,3002.092,398.507
2023-03-28 23:30:00,2023-03-29,2,3339.994,-56.108
2023-03-29 00:00:00,2023-03-29,3,3876.057,-158.342
2023-03-29 00:30:00,2023-03-29,4,3025.274,-161.192
2023-03-29 01:00:00,2023-03-29,5,2000.2,-68.708
2023-03-29 01:30:00,2023-03-29,6,2248.891,-65.067
2023-03-29 02:00:00,2023-03-29,7,1228.976,-63.083
2023-03-29 02:30:00,2023-03-29,8,1250.232,-46.608
2023-03-29 03:00:00,2023-03-29,9,1868.773,-64.0
2023-03-29 03:30:00,2023-03-29,10,3009.537,575.925
2023-03-29 04:00:00,2023-03-29,11,2983.859,230.65
2023-03-29 04:30:00,2023-03-29,12,4599.516,-17.208
2023-03-29 05:00:00,2023-03-29,13,3641.044,36.667
2023-03-29 05:30:00,2023-03-29,14,2771.138,8.7
2023-03-29 06:00:00,2023-03-29,15,1946.336,67.2
2023-03-29 06:30:00,2023-03-29,16,877.176,32.575
2023-03-29 07:00:00,2023-03-29,17,1579.941,-75.908
2023-03-29 07:30:00,2023-03-29,18,4430.154,27.917
2023-03-29 08:00:00,2023-03-29,19,3851.48,18.25
2023-03-29 08:30:00,2023-03-29,20,2661.2,-5.033
2023-03-29 09:00:00,2023-03-29,21,2408.979,50.233
2023-03-29 09:30:00,2023-03-29,22,3821.321,87.925
2023-03-29 10:00:00,2023-03-29,23,4411.759,45.1
2023-03-29 10:30:00,2023-03-29,24,3662.461,21.275
2023-03-29 11:00:00,2023-03-29,25,4669.826,-56.85
2023-03-29 11:30:00,2023-03-29,26,4978.55,-208.633
2023-03-29 12:00:00,2023-03-29,27,4352.696,-80.008
2023-03-29 12:30:00,2023-03-29,28,4694.233,-36.067
2023-03-29 13:00:00,2023-03-29,29,5619.131,-164.267
2023-03-29 13:30:00,2023-03-29,30,6191.432,-220.554
2023-03-29 14:00:00,2023-03-29,31,5575.563,-4.304
2023-03-29 14:30:00,2023-03-29,32,5594.109,995.772
2023-03-29 15:00:00,2023-03-29,33,6183.177,1610.123
2023-03-29 15:30:00,2023-03-29,34,5535.006,884.772
2023-03-29 16:00:00,2023-03-29,35,5305.734,-115.092
2023-03-29 16:30:00,2023-03-29,36,3981.623,-239.296
2023-03-29 17:00:00,2023-03-29,37,3455.393,-164.512
2023-03-29 17:30:00,2023-03-29,38,4182.468,-151.492
2023-03-29 18:00:00,2023-03-29,39,3509.11,-169.192
2023-03-29 18:30:00,2023-03-29,40,4071.893,76.629
2023-03-29 19:00:00,2023-03-29,41,3628.95,483.492
2023-03-29 19:30:00,2023-03-29,42,3897.693,743.887
2023-03-29 20:00:00,2023-03-29,43,3598.625,601.108
2023-03-29 20:30:00,2023-03-29,44,3302.333,401.755
2023-03-29 21:00:00,2023-03-29,45,2181.849,579.08
2023-03-29 21:30:00,2023-03-29,46,1674.663,249.79
2023-03-29 22:00:00,2023-03-29,47,2988.391,-84.767
2023-03-29 22:30:00,2023-03-29,48,3228.087,-155.908
2023-03-29 23:00:00,2023-03-30,1,2718.876,-193.408
2023-03-29 23:30:00,2023-03-30,2,3033.237,298.054
2023-03-30 00:00:00,2023-03-30,3,2775.577,1082.312
2023-03-30 00:30:00,2023-03-30,4,3103.652,1099.035
